Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
66415.8125,66439.5703125,66415.8125,66439.5703125,0,0.0,0.0,2024-07-24 12:10:00+00:00,12-10,146,1721823000.0,66427.69140625
66435.25,66435.25,66408.8515625,66408.8515625,0,0.0,0.0,2024-07-24 12:15:00+00:00,12-15,147,1721823300.0,66422.05078125
66375.4140625,66431.03125,66370.734375,66408.9140625,0,0.0,0.0,2024-07-24 12:20:00+00:00,12-20,148,1721823600.0,66400.8828125
66428.6328125,66455.390625,66405.8671875,66449.3515625,0,0.0,0.0,2024-07-24 12:25:00+00:00,12-25,149,1721823900.0,66430.62890625
66458.03125,66509.234375,66458.03125,66509.234375,0,0.0,0.0,2024-07-24 12:30:00+00:00,12-30,150,1721824200.0,66483.6328125
66519.0390625,66549.3125,66423.5,66423.5,0,0.0,0.0,2024-07-24 12:35:00+00:00,12-35,151,1721824500.0,66486.40625
66415.0625,66417.5625,66398.9140625,66398.9140625,0,0.0,0.0,2024-07-24 12:40:00+00:00,12-40,152,1721824800.0,66408.23828125
66382.0703125,66382.0703125,66258.96875,66258.96875,0,0.0,0.0,2024-07-24 12:45:00+00:00,12-45,153,1721825100.0,66320.51953125
66278.25,66302.296875,66270.390625,66302.296875,16273408,0.0,0.0,2024-07-24 12:50:00+00:00,12-50,154,1721825400.0,66286.34375
66223.9921875,66279.6875,66223.9921875,66239.7109375,35358720,0.0,0.0,2024-07-24 12:55:00+00:00,12-55,155,1721825700.0,66251.83984375
66241.75,66327.78125,66241.75,66327.78125,0,0.0,0.0,2024-07-24 13:00:00+00:00,13-00,156,1721826000.0,66284.765625
66328.3125,66354.984375,66322.453125,66354.984375,0,0.0,0.0,2024-07-24 13:05:00+00:00,13-05,157,1721826300.0,66338.71875
66376.9609375,66455.8671875,66373.4609375,66455.8671875,19916800,0.0,0.0,2024-07-24 13:10:00+00:00,13-10,158,1721826600.0,66414.6640625
66432.328125,66495.2109375,66432.328125,66475.9140625,911360,0.0,0.0,2024-07-24 13:15:00+00:00,13-15,159,1721826900.0,66463.76953125
66488.59375,66722.8046875,66488.59375,66722.8046875,30081024,0.0,0.0,2024-07-24 13:20:00+00:00,13-20,160,1721827200.0,66605.69921875
66683.953125,66699.5625,66629.09375,66699.5625,119451648,0.0,0.0,2024-07-24 13:25:00+00:00,13-25,161,1721827500.0,66664.328125
66672.1015625,66723.875,66615.6875,66615.6875,0,0.0,0.0,2024-07-24 13:30:00+00:00,13-30,162,1721827800.0,66669.78125
66615.3046875,66820.1875,66615.3046875,66820.1875,0,0.0,0.0,2024-07-24 13:35:00+00:00,13-35,163,1721828100.0,66717.74609375
